id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
info,date,2006/04/15
start,488795,Bradley Coon,0,1,8
start,458923,Ryan Leahy,0,2,4
start,461871,Hainley Statia,0,3,6
start,456596,Jordan Renz,0,4,10
start,444127,Warner A. Madrigal,0,5,9
start,459411,Travis Schlichting,0,6,5
start,489435,Flint Wipke,0,7,2
start,489148,Dallas Morris,0,8,3
start,446082,Madison Edwards,0,9,7
start,458595,Robert Mosebach,0,0,1
start,452727,Casey Craig,1,1,7
start,451178,Jeffrey Flaig,1,2,3
start,459431,Michael Saunders,1,3,8
start,466307,Eddy Hernandez,1,4,9
start,472528,Luis Valbuena,1,5,4
start,489822,Nicholas Prosise,1,6,2
start,473213,Chao Kuan Wu,1,7,10
start,490563,Robert Hudson,1,8,5
start,451587,Jeffrey Dominguez,1,9,6
start,471184,Jose Escalona,0,0,1
play,1,0,488795,,,W
play,1,0,458923,,,SB2
play,1,0,458923,,,K
play,1,0,461871,,,8/F
play,1,0,456596,,,3/PF
play,1,1,452727,,,5/L
play,1,1,451178,,,4/L
play,1,1,459431,,,W
play,1,1,466307,,,K
play,2,0,444127,,,K
play,2,0,459411,,,3/PF
play,2,0,489435,,,W
play,2,0,489148,,,SB2
play,2,0,489148,,,3/PF
play,2,1,472528,,,43/G
play,2,1,489822,,,63/G
play,2,1,473213,,,43/G
play,3,0,446082,,,13/G
play,3,0,488795,,,K
play,3,0,458923,,,E6
play,3,0,461871,,,S7/L.1-2
play,3,0,456596,,,FC5/G.1X2(54)
play,3,1,490563,,,9/F
play,3,1,451587,,,S1/G
play,3,1,452727,,,CS2
play,3,1,452727,,,K23
play,4,0,444127,,,S9/F
play,4,0,459411,,,9/F
play,4,0,489435,,,W.1-2
play,4,0,489148,,,2/PF
play,4,0,446082,,,HP.1-2;2-3
play,4,0,488795,,,43/G
play,4,1,451178,,,63/G
play,4,1,459431,,,13/G
play,4,1,466307,,,T9/G
play,4,1,472528,,,E3.3-H;B-2
play,4,1,489822,,,WP.2-3
play,4,1,489822,,,W+WP.3-H
play,4,1,473213,,,NP
sub,452043,Brok Butcher,0,0,1
play,4,1,473213,,,PB.1-2
play,4,1,473213,,,31/G
play,5,0,458923,,,S9/L
play,5,0,461871,,,D7/F.1-3
play,5,0,456596,,,D7/F.2-3;3-H
play,5,0,444127,,,3(2)6/G3/GDP
play,5,0,459411,,,W
play,5,0,489435,,,D7/L.1-H;3-H
play,5,0,489148,,,NP
sub,446353,Nicholas Allen,1,0,1
play,5,0,489148,,,8/F
play,5,1,490563,,,S8/L
play,5,1,451587,,,S7/F.1-2
play,5,1,452727,,,2(B)6(2)/LDP/BP2
play,5,1,451178,,,6/P
play,6,0,446082,,,W
play,6,0,488795,,,S9/L.1-3
play,6,0,458923,,,S8/L.1-3;3-H
play,6,0,461871,,,FC5/G.1X2(54);B-1
play,6,0,456596,,,NP
sub,447717,Ruben Flores,1,0,1
play,6,0,456596,,,SB2
play,6,0,456596,,,K
play,6,0,444127,,,43/G
play,6,1,459431,,,T8/F
play,6,1,466307,,,43/G.3-H
play,6,1,472528,,,K
play,6,1,489822,,,S7/L
play,6,1,473213,,,9/F
play,7,0,459411,,,E5.B-2
play,7,0,489435,,,43/G.2-3
play,7,0,489148,,,W
play,7,0,446082,,,NP
sub,452248,Rollie Gibson,1,0,1
play,7,0,446082,,,2(B)52(3)/LDP/BP2F.3XH
play,7,1,490563,,,53/G
play,7,1,451587,,,S8/L
play,7,1,452727,,,FC1/B.1X2(16);B-1
play,7,1,451178,,,WP.1-2
