id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
play,1,1,471808,,,K
play,1,1,444515,,,K
play,2,0,452169,,,HR/F
play,2,0,454570,,,7/F
play,2,0,457454,,,3/P
play,2,0,457853,,,4/P
play,2,1,450260,,,K
play,2,1,453892,,,D8/L
play,2,1,457830,,,63/G.2-3
play,2,1,444340,,,W
play,2,1,446897,,,7/F
play,3,0,458969,,,K
play,3,0,446871,,,9/F
play,3,0,452671,,,1/P
play,3,1,452711,,,63/G
play,3,1,444514,,,13/G
play,3,1,471808,,,S9/F
play,3,1,444515,,,W.1-2
play,3,1,450260,,,9/F
play,4,0,445988,,,S8/L
play,4,0,455159,,,D7/L.1-3
play,4,0,452169,,,63/G.3-H
play,4,0,454570,,,SB3
play,4,0,454570,,,7/SF.3-H
play,4,0,457454,,,63/G
play,4,1,453892,,,D8/L
play,4,1,457830,,,D7/L.2-3
play,4,1,444340,,,6/P
play,4,1,446897,,,5/PF
play,4,1,452711,,,WP.2-3;3-H
play,4,1,452711,,,63/G
play,5,0,457853,,,43/G
play,5,0,458969,,,53/G
play,5,0,446871,,,K
play,5,1,444514,,,K
play,5,1,471808,,,63/G
play,5,1,444515,,,43/G
play,6,0,452671,,,63/G
play,6,0,445988,,,53/G
play,6,0,455159,,,63/G
play,6,1,450260,,,K
play,6,1,453892,,,53/G
play,6,1,457830,,,5/P
play,7,0,452169,,,NP
sub,457826,Tom Mastny,1,0,1
play,7,0,452169,,,W
play,7,0,454570,,,FC1/G.1X2(16);B-1
play,7,0,457454,,,FC4/G.1X2(4);B-1
play,7,0,457853,,,K
play,7,1,444340,,,NP
sub,453431,Ralph Roberts,0,0,1
play,7,1,444340,,,S9/F
play,7,1,446897,,,D7/L.1-H
play,7,1,452711,,,K
play,7,1,444514,,,NP
sub,461839,Wes Letson,0,0,1
play,7,1,444514,,,7(B)74(2)/LDP
play,8,0,458969,,,53/G
play,8,0,446871,,,63/G
play,8,0,452671,,,S6/G
play,8,0,445988,,,K
play,8,1,471808,,,53/BG
play,8,1,444515,,,8/F
play,8,1,450260,,,NP
sub,446932,Bryan Digby,0,0,1
play,8,1,450260,,,W
play,8,1,453892,,,W.1-2
play,8,1,457830,,,NP
sub,449775,Brandon Pinckney,1,4,12
play,8,1,457830,,,9/F
play,9,0,455159,,,NP
sub,449775,Brandon Pinckney,1,4,10
play,9,0,452169,,,NP
sub,460592,Dan Eisentrager,1,0,1
play,9,0,455159,,,D7/L
play,9,0,452169,,,S7/F.2-H
play,9,0,454570,,,53/G.1-2
play,9,0,457454,,,IW
play,9,0,457853,,,S7/G.1-2;2-3
play,9,0,458969,,,K
play,9,0,446871,,,FC5/G.1X2(54)
play,9,1,444340,,,K
play,9,1,446897,,,9/F
play,9,1,452711,,,NP
sub,430957,Brad Snyder,1,9,11
play,9,1,430957,,,K
id,KinCAR200504220
info,visteam,MyrCAR
info,hometeam,KinCAR
info,date,2005/04/22
start,452671,Diory Hernandez,0,1,6
start,445988,Martin Prado,0,2,4
start,455159,Josh Burrus,0,3,7
start,452169,Matt Esquivel,0,4,8
start,454570,Scott Schade,0,5,3
start,435262,Miguel Bernard,0,6,2
start,457853,Steve Doetsch,0,7,9
start,458969,Alonzo Ruelas,0,8,10
start,446871,Jaime Trejo,0,9,5
start,457466,Jake Stevens,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,6
start,430957,Brad Snyder,1,3,8
