id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
play,4,1,462523,,,3/G
play,5,0,465777,,,S6/G
play,5,0,448226,,,D9/L.1-3
play,5,0,461838,,,D7/L.2-H;3-H
play,5,0,448767,,,E5
play,5,0,447770,,,1/BP
play,5,0,460686,,,PO?(E?).1-2;2-3
play,5,0,460686,,,FC5.3XH(52)
play,5,0,457133,,,K
play,5,1,444125,,,53/G
play,5,1,456698,,,9/F
play,5,1,464281,,,43/G
play,6,0,455095,,,8/F
play,6,0,459438,,,K
play,6,0,465777,,,D7/G
play,6,0,448226,,,K
play,6,1,453444,,,43/BG
play,6,1,453531,,,9/FF
play,6,1,452678,,,63/G
play,7,0,461838,,,S8/L
play,7,0,448767,,,NP
sub,451591,Chad Fillinger,1,0,1
play,7,0,448767,,,13/SH.1-2
play,7,0,447770,,,K
play,7,0,460686,,,WP.2-3
play,7,0,460686,,,K
play,7,1,472594,,,S8/F
play,7,1,453963,,,53/SH.1-2
play,7,1,462523,,,53/G
play,7,1,444125,,,63/G
play,8,0,457133,,,8/F
play,8,0,455095,,,7/F
play,8,0,459438,,,E5/TH.B-2
play,8,0,465777,,,K
play,8,1,456698,,,43/G
play,8,1,464281,,,D7/F
play,8,1,453444,,,NP
sub,448322,Ian Ostlund,0,0,1
play,8,1,453444,,,63/G
play,8,1,453531,,,K
play,9,0,448226,,,K
play,9,0,461838,,,5/P
play,9,0,448767,,,6/P
play,9,1,452678,,,NP
sub,457854,Anthony Tomey,0,0,1
play,9,1,452678,,,63/G
play,9,1,472594,,,13/G
play,9,1,453963,,,W
play,9,1,462523,,,NP
