id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
start,447737,Junior Contreras,0,4,3
start,448646,Sean McCraw,0,5,2
start,460697,Brahiam Maldonado,0,6,7
start,444555,Raul Reyes,0,7,9
start,489365,Joshua Thole,0,8,10
start,491904,Todd Lietz,0,9,4
start,502750,Timothy Stronach,0,0,1
start,463717,Richard D Oleo,1,1,8
start,466445,Pedro Silveren,1,2,4
start,457780,Kieron Pope,1,3,7
start,488780,Paul Chmiel,1,4,3
start,458593,Joey Howell,1,5,9
start,502664,Justin Johnson,1,6,2
start,462984,Franklin Gonzalez,1,7,5
start,502335,Bobby Henson,1,8,6
start,503484,Joseph Nowicki,1,9,10
start,501828,Ryan Ouellette,1,0,1
play,1,0,444481,,,8/F
play,1,0,462111,,,E6
play,1,0,445162,,,W.1-2
play,1,0,447737,,,46(1)3/GDP/G4
play,1,1,463717,,,31/G
play,1,1,466445,,,53/G
play,1,1,457780,,,S7/L
play,1,1,488780,,,SB2
play,1,1,488780,,,K
play,2,0,448646,,,63/G
play,2,0,460697,,,5/PF
play,2,0,444555,,,S9/L
play,2,0,489365,,,E4.1-H(E4/TH)
play,2,0,491904,,,43/G
play,2,1,458593,,,K
play,2,1,502664,,,S7/G
play,2,1,462984,,,CS2
play,2,1,462984,,,63/G
play,3,0,444481,,,S8/L
play,3,0,462111,,,CS2
play,3,0,462111,,,W
play,3,0,445162,,,9/F
play,3,0,447737,,,53/G
play,3,1,502335,,,K
play,3,1,503484,,,K
play,3,1,463717,,,W
play,3,1,466445,,,WP.1-2
play,3,1,466445,,,K
play,4,0,448646,,,W
play,4,0,460697,,,7/F
play,4,0,444555,,,W.1-2
play,4,0,489365,,,NP
sub,502286,Aubrey Miller,1,0,1
play,4,0,489365,,,W.1-2;2-3
play,4,0,491904,,,9/F
play,4,0,444481,,,3/G
play,4,1,457780,,,HP
play,4,1,488780,,,D9/F.1-H
play,4,1,458593,,,K
play,4,1,502664,,,8/F
play,4,1,462984,,,53/G
play,5,0,462111,,,K
play,5,0,445162,,,S8/G
play,5,0,447737,,,W.1-2
play,5,0,448646,,,K
play,5,0,460697,,,D7/F.1-H;2-H
play,5,0,444555,,,W
play,5,0,489365,,,7/F
play,5,1,502335,,,53/G
play,5,1,503484,,,W
play,5,1,463717,,,NP
sub,489728,Dustin Childress,0,0,1
play,5,1,463717,,,9/F
play,5,1,466445,,,S7/G.1-3
play,5,1,457780,,,D9/F.1-3;3-H
play,5,1,488780,,,63/G
play,6,0,491904,,,NP
sub,456954,Matthew Hayes,1,0,1
play,6,0,491904,,,13/G
play,6,0,444481,,,E4
play,6,0,462111,,,SB2
play,6,0,462111,,,9/F
play,6,0,445162,,,8/F
play,6,1,458593,,,S8/G
play,6,1,502664,,,K
play,6,1,462984,,,NP
sub,502417,Steven Cheney,0,0,1
play,6,1,462984,,,FC5/G.1X2(54);B-1
play,6,1,502335,,,S7/L.1-3
play,6,1,503484,,,S8/L.1-2;3-H
play,6,1,463717,,,D9/F.1-H;2-H
play,6,1,466445,,,6/L
play,7,0,447737,,,K
play,7,0,448646,,,HR/F
play,7,0,460697,,,W
play,7,0,444555,,,W.1-2
play,7,0,489365,,,13/G.1-2;2-3
play,7,0,491904,,,NP
sub,460151,Joshua Faiola,1,0,1
play,7,0,491904,,,K
play,7,1,457780,,,D7/F
play,7,1,488780,,,53/G.2-3
play,7,1,458593,,,NP
