id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
play,1,0,449084,,,S9/L.1-3;B-2
play,1,0,437593,,,HR/F.2-H;3-H
play,1,0,454441,,,8/F
play,1,0,236155,,,D8/L
play,1,0,456006,,,K
play,1,0,449138,,,D7/L.2-H
play,1,0,400129,,,S6/G.2-3
play,1,0,434698,,,S8/L.1-2;3-H
play,1,0,457434,,,K
play,1,1,461769,,,S8/L
play,1,1,459322,,,WP.1-2
play,1,1,459322,,,7/F
play,1,1,444843,,,K
play,1,1,450196,,,K
play,2,0,449084,,,S8/L
play,2,0,437593,,,E6.1-3;B-2
play,2,0,454441,,,D9/G.2-H;3-H
play,2,0,236155,,,13/G.2-3
play,2,0,456006,,,D8/L.3-H
play,2,0,449138,,,NP
sub,458190,Brad Weis,1,0,1
play,2,0,449138,,,K
play,2,0,400129,,,D7/L.2-H
play,2,0,434698,,,S7/G.2-3
