id,BilPIO200606220
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/22
play,2,0,452105,,,S9/G
play,2,0,467790,,,S8/L.1-2
play,2,0,502632,,,6/P
play,2,0,502461,,,FC6/G.1X2(64);2-H;B-2(E4/TH)
play,2,0,453197,,,8/F
play,2,1,457760,,,7/F
play,2,1,453120,,,63/G
play,2,1,502183,,,K
play,3,0,502348,,,1/L
play,3,0,467827,,,S7/L
play,3,0,501927,,,2/BG.BXb
play,3,0,453270,,,SB2
play,3,0,453270,,,W
play,3,0,452105,,,4/PF
play,3,1,460005,,,13/G
play,3,1,458214,,,6/L
play,3,1,457759,,,9/F
play,4,0,467790,,,NP
sub,453365,Travis Webb,1,0,1
play,4,0,467790,,,K
play,4,0,502632,,,63/G
play,4,0,502461,,,S4/G
play,4,0,453197,,,SB2
play,4,0,453197,,,3/G
play,4,1,453362,,,HP
play,4,1,501846,,,S9/L.1-H;B-2
play,4,1,453211,,,9/F.2-3
play,4,1,457760,,,3/G.3-H
play,4,1,453120,,,K
play,5,0,502348,,,3/G
play,5,0,467827,,,S6/G
play,5,0,501927,,,W.1-2
play,5,0,453270,,,SB3
play,5,0,453270,,,D9/L.1-3;3-H
play,5,0,452105,,,K
play,5,0,467790,,,63/G
play,5,1,502183,,,63/G
