id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
play,7,1,460183,,,FLE2/PF
play,7,1,460183,,,D7/G.1-3;2-H
play,7,1,444912,,,NP
sub,282562,Adam Pettyjohn,0,0,1
play,7,1,444912,,,FC5.2-3;3XH(526)
play,7,1,456035,,,13/G
play,8,0,445933,,,K
play,8,0,455748,,,4/P
play,8,0,461882,,,63/G
play,8,1,450196,,,43/G
play,8,1,435559,,,K
play,8,1,448590,,,K
play,9,0,461820,,,NP
sub,455041,Alex Santos,1,0,1
play,9,0,461820,,,3/G
play,9,0,455752,,,S8/F
play,9,0,451573,,,FC6/G.1X2(64);B-1
play,9,0,464281,,,SB2
play,9,0,464281,,,9/F
id,MidTEX200604220
info,visteam,SanTEX
info,hometeam,MidTEX
info,date,2006/04/22
start,451573,Sebastien Boucher,0,1,8
start,450824,Gary Harris,0,2,10
start,459943,Jeff Clement,0,3,2
start,434605,Wladimir Balentien,0,4,10
start,445933,Bryan LaHair,0,5,3
start,455748,Jon Nelson,0,6,7
start,461882,Jesus Guzman,0,7,5
start,455752,Michael Garciaparra,0,8,4
start,464281,Oswaldo Navarro,0,9,6
start,429715,Travis Blackley,0,0,1
start,460183,Lloyd Turner,1,1,9
start,444912,Ronnie MerrillJr.,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,448590,Kevin Melillo,1,6,4
start,435561,Brian Snyder,1,7,5
start,460607,Vasili Spanos,1,8,10
start,452712,Matthew Allegra,1,9,8
start,448253,Jason Windsor,1,0,1
play,1,0,451573,,,S8/G
play,1,0,450824,,,54(1)3/GDP/G5
play,1,0,459943,,,D9/G
play,1,0,434605,,,9/F
play,1,1,460183,,,13/G
play,1,1,444912,,,S8/L
play,1,1,456035,,,7/F
play,1,1,450196,,,8/F
play,2,0,445933,,,S8/G
play,2,0,455748,,,S9/G.1X3
play,2,0,461882,,,64(1)3/GDP/G6
play,2,1,435559,,,D7/F
play,2,1,448590,,,1/P
play,2,1,435561,,,SB3.2-H(E2/TH)
play,2,1,435561,,,K
play,2,1,460607,,,HR/F
play,2,1,452712,,,K+PB.B-1
play,2,1,460183,,,FC5/G.1X2(54)
play,3,0,455752,,,63/G
play,3,0,464281,,,K
play,3,0,451573,,,63/G
play,3,1,444912,,,4/P
play,3,1,456035,,,6/L
play,3,1,450196,,,7/F
play,4,0,450824,,,K
play,4,0,459943,,,13/G
play,4,0,434605,,,63/G
play,4,1,435559,,,8/F
play,4,1,448590,,,8/F
play,4,1,435561,,,63/G
play,5,0,445933,,,53/G
play,5,0,455748,,,D7/G
play,5,0,461882,,,53/G
play,5,0,455752,,,S9/L.2-H
play,5,0,464281,,,53/G
play,5,1,460607,,,D7/G
