id,ChaIL200604140
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/14
play,3,0,150482,,,K
play,3,1,124696,,,8/F
play,3,1,455755,,,3/PF
play,3,1,435539,,,D7/F
play,3,1,123689,,,8/F
play,4,0,407886,,,K
play,4,0,425634,,,K
play,4,0,430605,,,7/F
play,4,1,435220,,,43/G
play,4,1,435222,,,D9/L
play,4,1,462413,,,W
play,4,1,121252,,,2/PF
play,4,1,279565,,,63/G
play,5,0,400153,,,D7/F
play,5,0,435523,,,K
play,5,0,276523,,,9/F.2-3
play,5,0,407918,,,3/L
play,5,1,124696,,,S7/G
play,5,1,455755,,,14/SH.1-2
play,5,1,435539,,,8/F.2-3
play,5,1,123689,,,NP
sub,407795,John Ennis,0,0,1
play,5,1,123689,,,8/F
